text,replies,cleaned_text
"Urgent investment in green, survivable energy sources needed now. Northern Ireland has four oil terminals- we don’t need a new fossil fuel import and distribution terminal at Whitehead @CloghanNo Time for the Government to step up and transition off FF. We’re running out of time.",,urgent investment in green survivable energy sources needed now northern ireland has four oil terminals we dont need a new fossil fuel import and distribution terminal at whitehead  time for the government to step up and transition off ff were running out of time
Fossil fuel isn't the problem. It's just a scam by the government to put the blame someplace else,,fossil fuel isnt the problem its just a scam by the government to put the blame someplace else
"some combo of
1. advertisers don't want placements next to feel-bad stories
2. people that sit on boards of media conglomerates also sit on boards of fossil fuel companies
3. climate change is ""political,"" ""controversial""
4. nobody cares about bad things happening to poor people",,"some combo of
1 advertisers dont want placements next to feelbad stories
2 people that sit on boards of media conglomerates also sit on boards of fossil fuel companies
3 climate change is political controversial
4 nobody cares about bad things happening to poor people"
"If you're going to get arrested for throwing soup at a painting to protest the fossil fuel industry, why not cut out the middleman and just get arrested for throwing soup at an oil executive?",,if youre going to get arrested for throwing soup at a painting to protest the fossil fuel industry why not cut out the middleman and just get arrested for throwing soup at an oil executive
"He forgot the most important part:

Oil's the 2nd most prevalent liquid after water, not a 'fossil fuel', a term coined by J D Rockefeller to create the idea of scarcity. 

Oil & gas are natural products of planet Earth, they will not run out & cannot harm our planet. 

#UNscam.",,"he forgot the most important part

oils the 2nd most prevalent liquid after water not a fossil fuel a term coined by j d rockefeller to create the idea of scarcity 

oil  gas are natural products of planet earth they will not run out  cannot harm our planet"
"Expanded oil and gas drilling faster than Trump, blew up the Nordstream pipeline, fast tracked the worst fossil fuel projects, expanded military spending and war",,expanded oil and gas drilling faster than trump blew up the nordstream pipeline fast tracked the worst fossil fuel projects expanded military spending and war
"Alcohol for the elite.
Beheading.
Killing journalists.
Need to defend fossil fuel faster.",,"alcohol for the elite
beheading
killing journalists
need to defend fossil fuel faster"
"Dear Reliable Energy 
I frequently use your page for gathering information,  I appreciate that you take the time & energy lol to inform Canadians.
But
What I don't appreciate is your descriptive word
FOSSIL FUEL
please stop using incorrect terminology,
Its deceptive & misleading",,"dear reliable energy 
i frequently use your page for gathering information  i appreciate that you take the time  energy lol to inform canadians
but
what i dont appreciate is your descriptive word
fossil fuel
please stop using incorrect terminology
its deceptive  misleading"
"Is it about time your came clean, as which fossil fuel lobbyists are funding you.",,is it about time your came clean as which fossil fuel lobbyists are funding you
"Oh, and your renewables aren't pooped out of the butts of unicorns, either - they are made, transported, and, when they break, hauled to the landfill by fossil fuel-powered machines.",,oh and your renewables arent pooped out of the butts of unicorns either  they are made transported and when they break hauled to the landfill by fossil fuelpowered machines
"""She is destroying your fossil fuel industry...She's a liar... that's why we call her LYIN' Kamala."" - President @RealDonaldTrump",,she is destroying your fossil fuel industryshes a liar thats why we call her lyin kamala  president
"Hard to listen to a millionaire several times over with multiple homes and cars living the high life who made money investing in “fossil fuel” ⛽️ 
Afuera with u - John Kerry.",,"hard to listen to a millionaire several times over with multiple homes and cars living the high life who made money investing in fossil fuel  
afuera with u  john kerry"
"FACT #2 (continued):
The fossil fuel industry is big money. BIG BIG MONEY. And despite the fact that there's a limited supply of fossil fuels on/in Earth, there's still A LOT of money to be made. 

So, they lobbied $$$ (and continue to lobby $$$), giving money to politicians",,"fact  continued
the fossil fuel industry is big money big big money and despite the fact that theres a limited supply of fossil fuels onin earth theres still a lot of money to be made 

so they lobbied  and continue to lobby  giving money to politicians"
"“Kamala’s Project 2025”:   

Abolishing ICE 
Opening the border  
De-funding the police 
Releasing violent offenders 
Eliminating middle-class tax cuts   
Banning fracking  
Ending fossil fuel usage   
Confiscating guns from legal gun owners   
Taking away the healthcare plans of hundreds of millions of Americans   
Taxpayer funded transgender surgeries for illegal aliens",,"kamalas project 2025   

abolishing ice 
opening the border  
defunding the police 
releasing violent offenders 
eliminating middleclass tax cuts   
banning fracking  
ending fossil fuel usage   
confiscating guns from legal gun owners   
taking away the healthcare plans of hundreds of millions of americans   
taxpayer funded transgender surgeries for illegal aliens"
"Most of Alex’s lot are backed by fossil fuel - they keep prices high & with unaffordable bills

- and they utterly loathe anyone getting a wage increase - 🥶🥶🥶 connection

Fecking hypocrites

And in the pockets of the rich - 🤣🤣🤣
Gimme some of that kool-aid!",,"most of alexs lot are backed by fossil fuel  they keep prices high  with unaffordable bills

 and they utterly loathe anyone getting a wage increase   connection

fecking hypocrites

and in the pockets of the rich  
gimme some of that koolaid"
"This is exactly what opponents of the energy transition (e.g. fossil fuel industry, and their allies-- predominantly Republicans) are hoping will happen. And it may, if clean energy policies aren't designed to also reduce socioeconomic disparities in access & affordability (2/2).",,this is exactly what opponents of the energy transition eg fossil fuel industry and their allies predominantly republicans are hoping will happen and it may if clean energy policies arent designed to also reduce socioeconomic disparities in access  affordability 22
"Oil is not fossil fuel, it's produced underground naturally, and we don't live on a planet lighthouses prove flat earth, sea-level, 95% of the reality you've been spoon-fed is a lie. N-E ways have a good day gorgeous.",,oil is not fossil fuel its produced underground naturally and we dont live on a planet lighthouses prove flat earth sealevel 95 of the reality youve been spoonfed is a lie ne ways have a good day gorgeous
"Prove that fossil fuel pollution did this, please

Define fossil fuel, please",,"prove that fossil fuel pollution did this please

define fossil fuel please"
"I haven't seen much evidence of systematic discrimination against liberals in business. 
Exceptions exist: an outspoken critic of fossil fuels won't get into the leadership of fossil fuel companies, but I think individual choices play a larger role than discrimination even here.",,"i havent seen much evidence of systematic discrimination against liberals in business 
exceptions exist an outspoken critic of fossil fuels wont get into the leadership of fossil fuel companies but i think individual choices play a larger role than discrimination even here"
"It's the equivalent in size.

China is the world's biggest consumer of coal.

You've posed a meaningless opinion piece. China always states it's cutting back on 'fossil' fuel. It never does.",,"its the equivalent in size

china is the worlds biggest consumer of coal

youve posed a meaningless opinion piece china always states its cutting back on fossil fuel it never does"
Might be time to implement an Infrastructure tax on fossil fuel companies.,,might be time to implement an infrastructure tax on fossil fuel companies
"No he can't, and no he won't; unless of course you want a communist takeover of the entire energy and fossil fuel industries by the goverment.

He's getting increasingly desperate as he falls further behind Harris.

Next week he'll be promising free cars and domestic appliances.",,"no he cant and no he wont unless of course you want a communist takeover of the entire energy and fossil fuel industries by the goverment

hes getting increasingly desperate as he falls further behind harris

next week hell be promising free cars and domestic appliances"
"A victory! Fossil fuel advocacy ads on TTC will now face pre-screening & City may soon follow suit. 
Why? Because O&G companies lie to block or delay action, which would reduce demand for the product they are selling.
cbc.ca/news/canada/toronto/f… #tp__vfz=medium%3Dsharebar",,"a victory fossil fuel advocacy ads on ttc will now face prescreening  city may soon follow suit 
why because og companies lie to block or delay action which would reduce demand for the product they are selling
cbccanewscanadatorontof medium3dsharebar"
@randyhorst3 thinks this is normal has nothing to do with fossil fuel combustion,,thinks this is normal has nothing to do with fossil fuel combustion
Got that Fossil Fuel sauce 😋,,got that fossil fuel sauce
"It'd be really cool if all the fossil fuel execs, board members, and investors just died. Cause they clearly will never change.",,itd be really cool if all the fossil fuel execs board members and investors just died cause they clearly will never change
Yet you care nothing for the billions that would starve to death if fossil-fuel-based agriculture was stopped,,yet you care nothing for the billions that would starve to death if fossilfuelbased agriculture was stopped
Maybe humans will wake up?  We still keep trying the climate deniers & fossil fuel co's are loud and well-funded. We are not yet past the point of no return.,,maybe humans will wake up  we still keep trying the climate deniers  fossil fuel cos are loud and wellfunded we are not yet past the point of no return
"The US Government allowed the Fossil Fuel industries to flourish. They KNEW this was going to happen since the past 50 years. 

Fuck all of them.",,"the us government allowed the fossil fuel industries to flourish they knew this was going to happen since the past 50 years 

fuck all of them"
How does burning fossil fuel wipe out entire cities?,,how does burning fossil fuel wipe out entire cities
"It's not 'scapegoating' when the ENTIRE fossil fuel industry spent the last 50 years deliberately misleading the public about the dangers of its products.🤥

They CHOSE to lie to protect their profits, despite the evidence our climate will rapidly degrade.
smithsonianmag.com/smart-new…",,"its not scapegoating when the entire fossil fuel industry spent the last 50 years deliberately misleading the public about the dangers of its products

they chose to lie to protect their profits despite the evidence our climate will rapidly degrade
smithsonianmagcomsmartnew"
"Puisque ce graphique cite l'article de Foster et al. (2017), voici ce que les auteurs y expliquent :

""Humanity’s fossil-fuel use, if unabated, risks taking us, by the middle of the twenty-first century, to values of CO2 not seen since the early Eocene""

nature.com/articles/ncomms14…",,"puisque ce graphique cite larticle de foster et al 2017 voici ce que les auteurs y expliquent 

humanitys fossilfuel use if unabated risks taking us by the middle of the twentyfirst century to values of co2 not seen since the early eocene

naturecomarticlesncomms14"
"i'd be hitting up the fossil fuel companies that knew exactly what would happen in the 1970s.

not ukraine who was pressured into a deal and offered protection that hasn't happened 
news.harvard.edu/gazette/sto…",,"id be hitting up the fossil fuel companies that knew exactly what would happen in the 1970s

not ukraine who was pressured into a deal and offered protection that hasnt happened 
newsharvardedugazettesto"
All these areas will become uninhabitable due to climate change! Both fossil fuel companies and other major polluters are directly responsible for this crisis. I fear the U.S. may not learn from these warnings; denial seems to be the prevailing attitude until it's too late.,,all these areas will become uninhabitable due to climate change both fossil fuel companies and other major polluters are directly responsible for this crisis i fear the us may not learn from these warnings denial seems to be the prevailing attitude until its too late
"With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"there has always been hurricanes. the earth is 4.5 billion years old. cars are just over 100 years old, i’m sure mother earth has been through much worse than the burning of fossil fuel!",,there has always been hurricanes the earth is 45 billion years old cars are just over 100 years old im sure mother earth has been through much worse than the burning of fossil fuel
"They don’t care - they only
  Care about The $$$ they make from the fossil fuel industry",,"they dont care  they only
  care about the  they make from the fossil fuel industry"
"""There’s much more to the big story of Los Angeles oil—not least including questions about environmental damage . .  but regardless of the contemporary issues swirling around fossil-fuel production . . petroleum was a force that propelled a young city into its future.""",,theres much more to the big story of los angeles oilnot least including questions about environmental damage    but regardless of the contemporary issues swirling around fossilfuel production   petroleum was a force that propelled a young city into its future
"A big reason we are in this catastrophe is because governments are more focused on criminalizing the people who are protesting the climate crisis, instead of the fossil fuel executives who are responsible for it.",,a big reason we are in this catastrophe is because governments are more focused on criminalizing the people who are protesting the climate crisis instead of the fossil fuel executives who are responsible for it
For once I actually 100% agree with her. We need to rid ourselves of fossil fuel completely. Now. Not in 50 years. Or 20 years. Like right this fucking minute. Our grandchildren will love us for it because they will survive.,,for once i actually 100 agree with her we need to rid ourselves of fossil fuel completely now not in 50 years or 20 years like right this fucking minute our grandchildren will love us for it because they will survive
The Biden administration has been outpacing trump on every fossil fuel front 🙃,,the biden administration has been outpacing trump on every fossil fuel front
"No more fucking around. Godspeed You! Black Emperor named their upcoming album ""NO TITLE AS OF 13 FEBRUARY 2024 28,340 DEAD"". We will name future hurricanes so that every one of them has the name and address of a fossil fuel exec in them.",,no more fucking around godspeed you black emperor named their upcoming album no title as of 13 february 2024 28340 dead we will name future hurricanes so that every one of them has the name and address of a fossil fuel exec in them
"I think there's a specific name for the kind of irony involved in fossil-fuel-friendly politicians warning the public that electric vehicles may catch fire if submerged by climate-change-induced flooding, but I am drawing a blank.",,i think theres a specific name for the kind of irony involved in fossilfuelfriendly politicians warning the public that electric vehicles may catch fire if submerged by climatechangeinduced flooding but i am drawing a blank
"Exxon already did the research, predicted fossil fuel extraction/use would cause heating that we're suffering from now, but engaged in a massive propaganda campaign to convince people otherwise. Looks like it worked well on a lot of folks commenting here. science.org/doi/10.1126/scie…",,exxon already did the research predicted fossil fuel extractionuse would cause heating that were suffering from now but engaged in a massive propaganda campaign to convince people otherwise looks like it worked well on a lot of folks commenting here scienceorgdoi101126scie
"no, this shit is because fossil fuel companies, the biggest welfare queens around, insist on drilling, burning, making single use plastic; it's bigger & bigger trucks with sh*t mpgs... the military wasting resources creating enviromental catastrophes, clearcutting of forests...",,no this shit is because fossil fuel companies the biggest welfare queens around insist on drilling burning making single use plastic its bigger  bigger trucks with sht mpgs the military wasting resources creating enviromental catastrophes clearcutting of forests
"But you believe they give fossil fuel companies support as compromise and ""trade offs"" while I know most of these politicians have financial incentives from lobbyists 😂 be more critical",,but you believe they give fossil fuel companies support as compromise and trade offs while i know most of these politicians have financial incentives from lobbyists  be more critical
Right because natural disasters are new because of people burning fossil fuel. Anyone going to tell her?,,right because natural disasters are new because of people burning fossil fuel anyone going to tell her
"If you care so much about limiting fossil fuel use and protecting the planet, why haven’t you adopted a fully vegan diet yet, at least as far as I can see? The words coming out of your mouth don’t seem to match what’s going into it.",,if you care so much about limiting fossil fuel use and protecting the planet why havent you adopted a fully vegan diet yet at least as far as i can see the words coming out of your mouth dont seem to match whats going into it
"Repeat after me, a habitable planet is more important than the profits of a few fossil fuel companies.

Pass it on. 🔥",,"repeat after me a habitable planet is more important than the profits of a few fossil fuel companies

pass it on"
"This chart honestly makes no logical sense.

Do you know how much energy is left in fossil fuel reserves??",,"this chart honestly makes no logical sense

do you know how much energy is left in fossil fuel reserves"
"I bet, even when plastered with solar, the wind turbine will still require a fossil fuel of sorts.",,i bet even when plastered with solar the wind turbine will still require a fossil fuel of sorts
The laws of if physics so not tell us that policies targeting fossil fuel use will dave the earth from a climate catastrophe. Try to express yourself more plausibly/honestly.,,the laws of if physics so not tell us that policies targeting fossil fuel use will dave the earth from a climate catastrophe try to express yourself more plausiblyhonestly
"A habitable planet is more important than the profits of a few fossil fuel companies

Pass it on",,"a habitable planet is more important than the profits of a few fossil fuel companies

pass it on"
We do it's called fossil fuel,,we do its called fossil fuel
Are you aware how much money is paid by every gov today in fossil fuel subsidies? It’s one google search away from you!,,are you aware how much money is paid by every gov today in fossil fuel subsidies its one google search away from you
Big oil was empowered when your boy Biden gave production back to our geopolitical adversaries (questionable that you consider them to be) to funnel the money to THEIR power base. Stopping fossil fuel burning in the US where we do it the most responsible is dumb.,,big oil was empowered when your boy biden gave production back to our geopolitical adversaries questionable that you consider them to be to funnel the money to their power base stopping fossil fuel burning in the us where we do it the most responsible is dumb
Those scientists are all looking at data from around 1850 to present and coming up with the same correlation and conclusion.  The paleoclimate data tells a different story where oil and gas are absent but the same extremes in temps occur. Fossil fuel use is not having any meaningful impact - We are still about to plunge into an ice age for the next 80-100k years as we have always done after a 12-15k interglacial period,,those scientists are all looking at data from around 1850 to present and coming up with the same correlation and conclusion  the paleoclimate data tells a different story where oil and gas are absent but the same extremes in temps occur fossil fuel use is not having any meaningful impact  we are still about to plunge into an ice age for the next 80100k years as we have always done after a 1215k interglacial period
"Says the HYPOCRITE posting on his phone/ Computer which uses Electricity (source is fossil fuels) and Plastic (plastic is a product of oil, a fossil fuel).",,says the hypocrite posting on his phone computer which uses electricity source is fossil fuels and plastic plastic is a product of oil a fossil fuel
"Up to this year, Florida had been struck by 40 strong hurricanes since 1851. But the 41st was caused by ""fossil fuel pollution"", whatever that is?",,up to this year florida had been struck by 40 strong hurricanes since 1851 but the 41st was caused by fossil fuel pollution whatever that is
Because hurricanes and fires and never ever happened before fossil fuel companies existed.,,because hurricanes and fires and never ever happened before fossil fuel companies existed
It’s not just fossil fuel companies.,,its not just fossil fuel companies
"Powerful words from Tim Winton.

‘Our leaders are collaborators with fossil fuel colonialists. This is the source of our communal dread…..

The certainties enjoyed by previous generations are so far from reach as to be cruelly mythical.’

theguardian.com/environment/…",,"powerful words from tim winton

our leaders are collaborators with fossil fuel colonialists this is the source of our communal dread

the certainties enjoyed by previous generations are so far from reach as to be cruelly mythical

theguardiancomenvironment"
Our leaders are collaborators with fossil fuel colonialists. This is the source of our communal dread | Tim Winton | The Guardian #auspol  theguardian.com/environment/…,,our leaders are collaborators with fossil fuel colonialists this is the source of our communal dread  tim winton  the guardian   theguardiancomenvironment
"🚨🚨🚨 With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"I, like many, have been terrified of and yelling about climate change for years.

Seeing this happen in my new state has me feeling all the stages of grief all at once.

To all those impacted by this storm, I am sending so much love.

To all the fossil fuel companies: FUCK YOU",,"i like many have been terrified of and yelling about climate change for years

seeing this happen in my new state has me feeling all the stages of grief all at once

to all those impacted by this storm i am sending so much love

to all the fossil fuel companies fuck you"
"Me, too. Why do they beat up on teachers and public education, while makers of assault weapons make billions, fossil fuel companies poison our planet, healthcare businesses expand profits but not health?? There are so many issues to address,beating up on teachers makes no sense.",,me too why do they beat up on teachers and public education while makers of assault weapons make billions fossil fuel companies poison our planet healthcare businesses expand profits but not health there are so many issues to addressbeating up on teachers makes no sense
"With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"You can't continue to feed the fossil fuel companies lol this is my whole point. They're trying to make green energy ""compete"" 😭",,you cant continue to feed the fossil fuel companies lol this is my whole point theyre trying to make green energy compete
Hurricanes didn't exist before fossil fuel according to far leftists.,,hurricanes didnt exist before fossil fuel according to far leftists
No you're completely misunderstanding. My point is that they might do things like this but they ALSO continue to support the fossil fuel companies INCLUDING in that bill!,,no youre completely misunderstanding my point is that they might do things like this but they also continue to support the fossil fuel companies including in that bill
Not after years of abuse. We could have headed this off in the 1980s but campaign dollars from fossil fuel companies were a higher priority,,not after years of abuse we could have headed this off in the 1980s but campaign dollars from fossil fuel companies were a higher priority
"With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"You're a gullible moron if you believe fossil fuel is responsible for hurricanes, heatwaves, cold spells and floods",,youre a gullible moron if you believe fossil fuel is responsible for hurricanes heatwaves cold spells and floods
Because the fossil fuel companies are outside the picture.,,because the fossil fuel companies are outside the picture
She is an utter mediocrity and a fossil fuel shill.,,she is an utter mediocrity and a fossil fuel shill
"Of course extra people will push up demand, the solution is to increase supply, not just let the price increase.

High tax countries tend to have higher standards of living, once you strip out tiny tax havens where the very rich go to live, and major fossil fuel exporters.",,"of course extra people will push up demand the solution is to increase supply not just let the price increase

high tax countries tend to have higher standards of living once you strip out tiny tax havens where the very rich go to live and major fossil fuel exporters"
It was the wealthiest for robber barons in the 1890’s…til the Tech Broligarchs & Fossil Fuel Barons of today.,,it was the wealthiest for robber barons in the 1890stil the tech broligarchs  fossil fuel barons of today
"How's fossil fuel use going to wipe anything off the map and if anything was wiped off the map how would you rebuild it without fossil fuels?

It's funny how the people living in fossil-fueled luxury just want fossil fuel for themselves and no one else while the people who already have nothing or next to nothing are in desperate need of fossil fuels.

Don't let anyone ever tell you that socialists care about the poor or needy when they want to crush everything that allows those people to gain something more and better based on nothing but economically illiterate envy.

You're talking about people losing everything while wanting to take away their ability to use modern technology. 

You're just an anti-American, anti-humanity, authoritarian who wants to treat people as expendable.",,"hows fossil fuel use going to wipe anything off the map and if anything was wiped off the map how would you rebuild it without fossil fuels

its funny how the people living in fossilfueled luxury just want fossil fuel for themselves and no one else while the people who already have nothing or next to nothing are in desperate need of fossil fuels

dont let anyone ever tell you that socialists care about the poor or needy when they want to crush everything that allows those people to gain something more and better based on nothing but economically illiterate envy

youre talking about people losing everything while wanting to take away their ability to use modern technology 

youre just an antiamerican antihumanity authoritarian who wants to treat people as expendable"
"No, the American people want a plan to end fossil fuel a plan that is reasonable &doesn’t cost their livelihoods their way of living you can’t flip a switch like the Dems did. It’s called project management dumb 💩!",,no the american people want a plan to end fossil fuel a plan that is reasonable doesnt cost their livelihoods their way of living you cant flip a switch like the dems did its called project management dumb
"And we are entering an age of disaster mitigation going forward due to fossil fuel dominated communications in decades past.
We can't expect the rich liberals to wake up and save us all.
We have to start looking to people who are servants of public interest first.",,"and we are entering an age of disaster mitigation going forward due to fossil fuel dominated communications in decades past
we cant expect the rich liberals to wake up and save us all
we have to start looking to people who are servants of public interest first"
"How's fossil fuel use going to wipe anything off the map and if anything was wiped off the map how would you rebuild it without fossil fuels?

It's funny how the people living in fossil-fueled luxury just want fossil fuel for themselves and no one else while the people who already have nothing or next to nothing are in desperate need of fossil fuels.

Don't let anyone ever tell you that socialists care about the poor or needy when they want to crush everything that allows those people to gain something more and better based on nothing but economically illiterate envy.

You're talking about people losing everything while wanting to take away their ability to use modern technology. 

You're just an anti-American, anti-humanity, authoritarian who wants to treat people as expendable.",,"hows fossil fuel use going to wipe anything off the map and if anything was wiped off the map how would you rebuild it without fossil fuels

its funny how the people living in fossilfueled luxury just want fossil fuel for themselves and no one else while the people who already have nothing or next to nothing are in desperate need of fossil fuels

dont let anyone ever tell you that socialists care about the poor or needy when they want to crush everything that allows those people to gain something more and better based on nothing but economically illiterate envy

youre talking about people losing everything while wanting to take away their ability to use modern technology 

youre just an antiamerican antihumanity authoritarian who wants to treat people as expendable"
Right? They've been captured by the fossil fuel agenda,,right theyve been captured by the fossil fuel agenda
"These graph shows number of fatal accident and age group in US. Highest among young & very old age. US allows 16YOs to drive not because to give freedom but more drivers support more #fossil fuel industry. #emissions, failure to provide public transport & fatalities don’t matter.",,these graph shows number of fatal accident and age group in us highest among young  very old age us allows 16yos to drive not because to give freedom but more drivers support more  fuel industry  failure to provide public transport  fatalities dont matter
Yeah. All that to protect fossil fuel profits. Insane.,,yeah all that to protect fossil fuel profits insane
"Our leaders are collaborators with fossil fuel colonialists. This is the source of our communal dread

theguardian.com/environment/…",,"our leaders are collaborators with fossil fuel colonialists this is the source of our communal dread

theguardiancomenvironment"
"And whilst you are learning about science, feel free to cite a credible climate scientist who can prove that man made climate change is a hoax. They would have made a fortune from the fossil fuel industries if they could produce evidence that stands up to scrutiny. I'll wait.",,and whilst you are learning about science feel free to cite a credible climate scientist who can prove that man made climate change is a hoax they would have made a fortune from the fossil fuel industries if they could produce evidence that stands up to scrutiny ill wait
"Well let’s start by getting rid of your phones, they’re made with byproducts of fossil fuel. Then turn off your electric because solar won’t keep up with fossil fuel",,well lets start by getting rid of your phones theyre made with byproducts of fossil fuel then turn off your electric because solar wont keep up with fossil fuel
"I’m literally on the train right now with my folding bike 😊 

I’m simply sharing the reality of existing American infrastructure, consumer preference, the fastest way to eliminate traffic deaths, and cut fossil fuel emissions.  This was a response to very incremental legislation to add speed sounds to new human cars. 

Believe me I WISH there was a way to make venture-scale returns on bike/transit  infrastructure, I’d build that company!",,"im literally on the train right now with my folding bike  

im simply sharing the reality of existing american infrastructure consumer preference the fastest way to eliminate traffic deaths and cut fossil fuel emissions  this was a response to very incremental legislation to add speed sounds to new human cars 

believe me i wish there was a way to make venturescale returns on biketransit  infrastructure id build that company"
"It does have cult like tendencies, uses exaggerated language. But, they have a point that the change to non fossil fuel is not going fast enough. Fossil fuels are leading to rising temperatures. Don't use their errors of judgement to deny the problem.",,it does have cult like tendencies uses exaggerated language but they have a point that the change to non fossil fuel is not going fast enough fossil fuels are leading to rising temperatures dont use their errors of judgement to deny the problem
"With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"That’s for electricity, and Norway is a huge fossil fuel producer… Paraguay devastates its forests and Iceland profits from the volcanoes which release millions of t of CO2 every year . 
Amazing choice . 
Just keep Costa Rica … nice warm weather they have, 27°C average.",,"thats for electricity and norway is a huge fossil fuel producer paraguay devastates its forests and iceland profits from the volcanoes which release millions of t of co2 every year  
amazing choice  
just keep costa rica  nice warm weather they have 27c average"
Replacing the contributions lost from disaffected members and trade unions with money from the fossil fuel lobby and arms contractors. Deciding not to take children out of poverty and not to mitigate the damage their policy on winter fuel will cause. Burying reports on racism.,,replacing the contributions lost from disaffected members and trade unions with money from the fossil fuel lobby and arms contractors deciding not to take children out of poverty and not to mitigate the damage their policy on winter fuel will cause burying reports on racism
"He won't have to wait that long. If BAU with fossil fuel burning by 2100 the oceans will uniformly(yes worth stating the obvious) rise 33 feet permanently and 1 billion people, all the fauna/flora/infrastructure will be under water-permanently .",,he wont have to wait that long if bau with fossil fuel burning by 2100 the oceans will uniformlyyes worth stating the obvious rise 33 feet permanently and 1 billion people all the faunaflorainfrastructure will be under waterpermanently
"Climate denial comes from fossil fuel billionaires. 
Labour are dodgy as…",,"climate denial comes from fossil fuel billionaires 
labour are dodgy as"
@SenRickScott duh “something’s going on”… yeah it’s called  climate change!!! You ignoramus.  You greedy Republicans along with the oil/fossil fuel industry are allowing this to happen. I wish you wld just go away.,,duh somethings going on yeah its called  climate change you ignoramus  you greedy republicans along with the oilfossil fuel industry are allowing this to happen i wish you wld just go away
"Biden’s foreign policy Bomb, Bomb, Bomb !!!
Originally Obama/Biden foreign policy.
Use Israel as cannon fodder to protect Middle East oil so we keep poisoning mother earth and killing our planet.
Keep using your tax dollars to subsidize fossil fuel poisons washingtonpost.com/world/202…",,"bidens foreign policy bomb bomb bomb 
originally obamabiden foreign policy
use israel as cannon fodder to protect middle east oil so we keep poisoning mother earth and killing our planet
keep using your tax dollars to subsidize fossil fuel poisons washingtonpostcomworld202"
"""this year's Climate Week NYC, a gathering of liberal activists and elites who claim that we are heading away from a ""fossil-fuel society"" and toward a ""green economy"" that ""will drive a seismic change… in the way we build, live, and learn."" Unfortunately, they might be right.""",,this years climate week nyc a gathering of liberal activists and elites who claim that we are heading away from a fossilfuel society and toward a green economy that will drive a seismic change in the way we build live and learn unfortunately they might be right
"your party are bought and paid for by the energy companies. You do not give a 💩 about the public, The game is up as soon as the gullible get it!   Reform Party Has Accepted £2.3 Million from Fossil Fuel Interests, Climate Deniers, Polluters Since 2019

desmog.com/2024/06/04/nigel-…",,"your party are bought and paid for by the energy companies you do not give a  about the public the game is up as soon as the gullible get it   reform party has accepted 23 million from fossil fuel interests climate deniers polluters since 2019

desmogcom20240604nigel"
History does not support the idea that the tragedy of Helene is caused by fossil-fuel-driven climate change. We're thankful for all the private efforts to help those affected by this devastating natural event.,,history does not support the idea that the tragedy of helene is caused by fossilfueldriven climate change were thankful for all the private efforts to help those affected by this devastating natural event
"With a few weeks left before #COP29 starts, the Troika @COP28_UAE, @presidentaz must listen to the demands of frontline communities’ demands and protect our future: stop all fossil fuel expansion and commit to a fair renewable energy transition now!",,with a few weeks left before  starts the troika   must listen to the demands of frontline communities demands and protect our future stop all fossil fuel expansion and commit to a fair renewable energy transition now
"Climate Change is REAL, and it's coming for you no matter where you live. 

QUIT BURNING FOSSIL FUEL! ⛽️ 😤 🔥",,"climate change is real and its coming for you no matter where you live 

quit burning fossil fuel"
"Repeat after me. A habitable planet is more important than the profits of a few fossil fuel companies.

Pass it on. 

#ActOnClimate",,"repeat after me a habitable planet is more important than the profits of a few fossil fuel companies

pass it on"
"You're far from alone, Anna.

With each passing disaster, I rage more and more at the politicians, media, fossil fuel cos, lobby groups etc who've held back meaningful action for decades.

We need the truth.
ASAP",,"youre far from alone anna

with each passing disaster i rage more and more at the politicians media fossil fuel cos lobby groups etc whove held back meaningful action for decades

we need the truth
asap"
"You do realize that they aren’t protesting the use of oil in every single product ever right? They’re protesting the creation of new fossil fuel licensing and production, which is a major cause of climate change. Not that I agree with their methods, of course.",,you do realize that they arent protesting the use of oil in every single product ever right theyre protesting the creation of new fossil fuel licensing and production which is a major cause of climate change not that i agree with their methods of course
